Question,Answer
"Какие у факультета индустриальные партнеры?","У нас несколько десятков ИТ-компаний – от крупных корпораций до небольших и перспективных стартапов. Среди всем известных компаний можно выделить 1С, Autodesk, Mail.ru, Cisco, Лаборатория Касперского, Сбербанк."
"Если я не очень хорошо программирую, то будет сложно и смогу ли я учиться?","Да, конечно. Изучение программирования начинается с основ, что позволяет выровнять уровень у студентов. Для тех, кто уже умеет программировать, выдаются задания повышенной сложности, чтобы не растерять навыки."
"Сложно ли учиться на факультете?","Да, учиться непросто, так как мы готовим студентов под реальные требования индустрии и стремимся сохранять лидерство в ИТ-подготовке среди вузов страны. Однако если студент заинтересован и правильно выбрал направление, то он справляется. Обучение построено на примере постепенного усложнения заданий, и если выполнять все задания, то проблем не будет."
"Какие преимущества ваших образовательных программ?","на всех образовательных программах реализована концепция «перевернутого» учебного плана, в рамках которой прикладные дисциплины изучаются с первого семестра в объеме не менее 50% от общего количества времени. А общеобразовательные предметы не концентрируются только в первые два года, а распределяются на весь срок обучения. Таким образом, практика и теория идут рука об руку с самого начала. Важным преимуществом является внедрение проектной деятельности – с первого семестра студенты должны в рамках учебного процесса решать реальные задачи от ИТ-индустрии. Это позволяет студентам получить реальный опыт, учась в вузе."
"Уровень зарплаты выпускников?","начиная от 70 000 руб. Но все зависит от сферы и занимаемой должности."
"Где проходят занятия?"," Большинство образовательных программ проходит в корпусе на ул. Большая Семеновская (м. Электрозаводская), но программы по информационной безопасности и большим данным проходят в корпусе на Автозаводской. В течение дня студент не переезжает с площадки на площадку."
"Где узнать подробнее про «проектную деятельность»?","эта дисциплина, позволяющая применить теоретические знания в работе над реальным проектом от внешнего заказчика. К концу обучения у студента есть портфолио с 6-7 проектами по профилю, раскрывающее уровень подготовки его как специалиста. На нашем сайте (https://pd.fit.mospolytech.ru/) можно посмотреть примеры проектов и требований. В 2019 году вместе с Министерством цифрового развития, связи и массовых коммуникаций РФ и Центром компетенций «Кадры для цифровой экономики» мы впервые в России провели открытую защиту проектов, выполненных на втором курсе. Они соответствуют 5му квалификационному уровню (за рубежом таких специалистов называют ассоциатами) и гарантировано позволяют работать на начальных позициях в ИТ-индустрии. Подробнее - https://fit.mospolytech.ru/associate/"
"В каких компаниях могут работать выпускники?","это могут быть крупные отечественные и зарубежные компании, или многочисленные компании среднего и малого бизнеса. Наиболее инициативные студенты создают свои стартапы. Например, студент второго курса запустил проект https://greenpl.ru/ . В этом году он заканчивает обучение в бакалавриате."
"Какой преподавательский состав на факультете?","В 2014-16 годах мы спроектировали новые образовательные программы и постоянно обновляем их вместе со специалистами из ИТ-индустрии. Они выступают руководителями или менторами программ, помогают в подборе преподавателей-практиков из индустрии (у нас их более 30% от общего числа преподавателей), оценивают качество подготовки со стороны бизнеса."
"Какой процент отчисления людей?","Традиционно самый большой процент отчисления на первом курсе, который связан с личными качествами студентов, их готовностью учиться в университете. В последующем мы теряем студентов из-за того, что они уходят на работу. С каждым годом к нам приходят все более сильные и мотивированные студенты, поэтому процент отчисления постоянно уменьшается."
"Какие мероприятия есть на факультете?","Всевозможные хакатоны на проверку навыков программирования, секции ИТ-подготовки для чемпионатов WorldSkills, студенческие конференции, митапы с представителями индустрии, воркшопы и другие активности."
"Какие языки программирования изучают на направлени “Веб-технологии”?","На направлении «веб-технологии» изучаются языки Python, PHP, Java, Unity, Javascript"
"На каком курсе и как проходят практики студентов?","На факультете практики начинаются в среднем со второго курса. Ребята могут сами предложить место для практики и факультет предоставляется возможность проходить практику в компаниях-партнерах факультета (1C, С3DLabs, WildBerries). На большинстве программ практика сдвинута на последний год, тк большинство студентов, кто готов выйти на работу, без труда находят стажировку самостоятельно или по рекомендации индустриальных преподавателей, а также партнёров факультета."
"В чем отличия профиля “Большие и открытые данные” в 09 и 01 направлении?","Профиль реализуется по обоим направлениям (01 и 09), разницы в учебных планах нет. Только код направления, который будет в дипломе. Большой спрос на данный профиль – поэтому еще одна группа в направлении 09.03.03"
"Какими навыками владеет выпускник направления “Прикладная кибербезопасность”?","Вы научитесь: аудиту безопасности информационных систем, обеспечению защиты программного обеспечения, автоматизированных систем и баз данных, программированию и реверс-инжинирингу на C, C++, Python, PHP, JavaScript и других, веб-технологиям: HTTP, HTML, CSS,PWA"
